transaction_id,actual_invoice_id,actual_status,actual_reason
TXN-6055,INV-0235,MATCH,"Exact amount, vendor, and single valid mapping."
TXN-6056,INV-0237,MATCH,"Exact amount, vendor, and single valid mapping."
TXN-6057,INV-0410,MATCH,"Exact amount, vendor, and single valid mapping."
TXN-6058,INV-0202,MATCH,"Exact amount, vendor, and single valid mapping."
TXN-6059,INV-0322,MATCH,"Exact amount, vendor, and single valid mapping."
TXN-6060,INV-0454,MATCH,"Exact amount, vendor, and single valid mapping."
TXN-6061,INV-0486,MATCH,"Exact amount, vendor, and single valid mapping."
TXN-6062,INV-0336,MATCH,"Exact amount, vendor, and single valid mapping."
TXN-6063,INV-0060,MATCH,"Exact amount, vendor, and single valid mapping."
TXN-6064,INV-0236,MATCH,"Exact amount, vendor, and single valid mapping."
TXN-6065,INV-0182,MATCH,"Exact amount, vendor, and single valid mapping."
TXN-6066,INV-0076,MATCH,"Exact amount, vendor, and single valid mapping."
TXN-6067,INV-0428,MATCH,"Exact amount, vendor, and single valid mapping."
TXN-6068,INV-0139,MATCH,"Exact amount, vendor, and single valid mapping."
TXN-6069,INV-0206,MATCH,"Exact amount, vendor, and single valid mapping."
TXN-6070,INV-0140,MATCH,"Exact amount, vendor, and single valid mapping."
TXN-6071,INV-0220,MATCH,"Exact amount, vendor, and single valid mapping."
TXN-6072,INV-0378,MATCH,"Exact amount, vendor, and single valid mapping."
TXN-6073,INV-0338,MATCH,"Exact amount, vendor, and single valid mapping."
TXN-6074,INV-0207,MATCH,"Exact amount, vendor, and single valid mapping."
TXN-6075,INV-0303,MATCH,"Exact amount, vendor, and single valid mapping."
TXN-6076,INV-0170,MATCH,"Exact amount, vendor, and single valid mapping."
TXN-6077,INV-0119,MATCH,"Exact amount, vendor, and single valid mapping."
TXN-6078,INV-0097,MATCH,"Exact amount, vendor, and single valid mapping."
TXN-6079,INV-0374,MATCH,"Exact amount, vendor, and single valid mapping."
TXN-6080,INV-0092,MATCH,"Exact amount, vendor, and single valid mapping."
TXN-6081,INV-0183,MATCH,"Exact amount, vendor, and single valid mapping."
TXN-6082,INV-0227,MATCH,"Exact amount, vendor, and single valid mapping."
TXN-6083,INV-0176,MATCH,"Exact amount, vendor, and single valid mapping."
TXN-6084,INV-0441,MATCH,"Exact amount, vendor, and single valid mapping."
TXN-6085,INV-0407,MATCH,"Exact amount, vendor, and single valid mapping."
TXN-6086,INV-0307,MATCH,"Exact amount, vendor, and single valid mapping."
TXN-6087,INV-0259,MATCH,"Exact amount, vendor, and single valid mapping."
TXN-6088,INV-0422,MATCH,"Exact amount, vendor, and single valid mapping."
TXN-6089,INV-0171,MATCH,"Exact amount, vendor, and single valid mapping."
TXN-6090,INV-0032,MATCH,"Exact amount, vendor, and single valid mapping."
TXN-6091,INV-0194,MATCH,"Exact amount, vendor, and single valid mapping."
TXN-6092,INV-0474,MATCH,"Exact amount, vendor, and single valid mapping."
TXN-6093,INV-0323,MATCH,"Exact amount, vendor, and single valid mapping."
TXN-6094,INV-0491,MATCH,"Exact amount, vendor, and single valid mapping."
TXN-6095,INV-0475,MATCH,"Exact amount, vendor, and single valid mapping."
TXN-6096,INV-0339,MATCH,"Exact amount, vendor, and single valid mapping."
TXN-6097,INV-0316,MATCH,"Exact amount, vendor, and single valid mapping."
TXN-6098,INV-0209,MATCH,"Exact amount, vendor, and single valid mapping."
TXN-6099,INV-0162,MATCH,"Exact amount, vendor, and single valid mapping."
TXN-6100,INV-0046,MATCH,"Exact amount, vendor, and single valid mapping."
TXN-6101,INV-0414,MATCH,"Exact amount, vendor, and single valid mapping."
TXN-6102,INV-0308,MATCH,"Exact amount, vendor, and single valid mapping."
TXN-6103,INV-0069,MATCH,"Exact amount, vendor, and single valid mapping."
TXN-6104,INV-0169,MATCH,"Exact amount, vendor, and single valid mapping."
TXN-6105,INV-0023,MATCH,"Exact amount, vendor, and single valid mapping."
TXN-6106,INV-0438,MATCH,"Exact amount, vendor, and single valid mapping."
TXN-6107,INV-0201,MATCH,"Exact amount, vendor, and single valid mapping."
TXN-6108,INV-0212,MATCH,"Exact amount, vendor, and single valid mapping."
TXN-6109,INV-0370,MATCH,"Exact amount, vendor, and single valid mapping."
TXN-6110,INV-0423,MATCH,"Exact amount, vendor, and single valid mapping."
TXN-6111,INV-0167,MATCH,"Exact amount, vendor, and single valid mapping."
TXN-6112,INV-0200,MATCH,"Exact amount, vendor, and single valid mapping."
TXN-6113,INV-0027,MATCH,"Exact amount, vendor, and single valid mapping."
TXN-6114,INV-0279,MATCH,"Exact amount, vendor, and single valid mapping."
TXN-6115,INV-0464,MATCH,"Exact amount, vendor, and single valid mapping."
TXN-6116,INV-0273,MATCH,"Exact amount, vendor, and single valid mapping."
TXN-6117,INV-0008,MATCH,"Exact amount, vendor, and single valid mapping."
TXN-6118,INV-0379,MATCH,"Exact amount, vendor, and single valid mapping."
TXN-6119,INV-0234,MATCH,"Exact amount, vendor, and single valid mapping."
TXN-6120,INV-0109,MATCH,"Exact amount, vendor, and single valid mapping."
TXN-6121,INV-0112,MATCH,"Exact amount, vendor, and single valid mapping."
TXN-6122,INV-0427,MATCH,"Exact amount, vendor, and single valid mapping."
TXN-6123,INV-0243,MATCH,"Exact amount, vendor, and single valid mapping."
TXN-6124,INV-0355,MATCH,"Exact amount, vendor, and single valid mapping."
TXN-6125,INV-0100,MATCH,"Exact amount, vendor, and single valid mapping."
TXN-6126,INV-0393,MATCH,"Exact amount, vendor, and single valid mapping."
TXN-6127,INV-0249,MATCH,"Exact amount, vendor, and single valid mapping."
TXN-6128,INV-0053,MATCH,"Exact amount, vendor, and single valid mapping."
TXN-6129,INV-0106,MATCH,"Exact amount, vendor, and single valid mapping."
TXN-6130,INV-0174,MATCH,"Exact amount, vendor, and single valid mapping."
TXN-6131,INV-0306,MATCH,"Exact amount, vendor, and single valid mapping."
TXN-6132,INV-0455,MATCH,"Exact amount, vendor, and single valid mapping."
TXN-6133,INV-0113,MATCH,"Exact amount, vendor, and single valid mapping."
TXN-6134,INV-0398,MATCH,"Exact amount, vendor, and single valid mapping."
TXN-6135,INV-0049,MATCH,"Exact amount, vendor, and single valid mapping."
TXN-6136,INV-0151,MATCH,"Exact amount, vendor, and single valid mapping."
TXN-6137,INV-0009,MATCH,"Exact amount, vendor, and single valid mapping."
TXN-6138,INV-0442,MATCH,"Exact amount, vendor, and single valid mapping."
TXN-6139,INV-0305,MATCH,"Exact amount, vendor, and single valid mapping."
TXN-6140,INV-0330,MATCH,"Exact amount, vendor, and single valid mapping."
TXN-6141,INV-0426,MATCH,"Exact amount, vendor, and single valid mapping."
TXN-6142,INV-0044,MATCH,"Exact amount, vendor, and single valid mapping."
TXN-6143,INV-0123,MATCH,"Exact amount, vendor, and single valid mapping."
TXN-6144,INV-0313,MATCH,"Exact amount, vendor, and single valid mapping."
TXN-6145,INV-0469,MATCH,"Exact amount, vendor, and single valid mapping."
TXN-6146,INV-0221,MATCH,"Exact amount, vendor, and single valid mapping."
TXN-6147,INV-0490,MATCH,"Exact amount, vendor, and single valid mapping."
TXN-6148,INV-0007,MATCH,"Exact amount, vendor, and single valid mapping."
TXN-6149,INV-0250,MATCH,"Exact amount, vendor, and single valid mapping."
TXN-6150,INV-0107,MATCH,"Exact amount, vendor, and single valid mapping."
TXN-6151,INV-0345,MATCH,"Exact amount, vendor, and single valid mapping."
TXN-6152,INV-0340,MATCH,"Exact amount, vendor, and single valid mapping."
TXN-6153,INV-0095,MATCH,"Exact amount, vendor, and single valid mapping."
TXN-6154,INV-0005,MATCH,"Exact amount, vendor, and single valid mapping."
TXN-6155,INV-0281,MATCH,"Exact amount, vendor, and single valid mapping."
TXN-6156,INV-0275,MATCH,"Exact amount, vendor, and single valid mapping."
TXN-6157,INV-0145,MATCH,"Exact amount, vendor, and single valid mapping."
TXN-6158,INV-0297,MATCH,"Exact amount, vendor, and single valid mapping."
TXN-6159,INV-0271,MATCH,"Exact amount, vendor, and single valid mapping."
TXN-6160,INV-0382,MATCH,"Exact amount, vendor, and single valid mapping."
TXN-6161,INV-0371,MATCH,"Exact amount, vendor, and single valid mapping."
TXN-6162,INV-0448,MATCH,"Exact amount, vendor, and single valid mapping."
TXN-6163,INV-0152,MATCH,"Exact amount, vendor, and single valid mapping."
TXN-6164,INV-0077,MATCH,"Exact amount, vendor, and single valid mapping."
TXN-6165,INV-0158,MATCH,"Exact amount, vendor, and single valid mapping."
TXN-6166,INV-0193,MATCH,"Exact amount, vendor, and single valid mapping."
TXN-6167,INV-0324,MATCH,"Exact amount, vendor, and single valid mapping."
TXN-6168,INV-0257,MATCH,"Exact amount, vendor, and single valid mapping."
TXN-6169,INV-0277,MATCH,"Exact amount, vendor, and single valid mapping."
TXN-6170,INV-0084,MATCH,"Exact amount, vendor, and single valid mapping."
TXN-6171,INV-0179,MATCH,"Exact amount, vendor, and single valid mapping."
TXN-6172,INV-0254,MATCH,"Exact amount, vendor, and single valid mapping."
TXN-6173,INV-0325,MATCH,"Exact amount, vendor, and single valid mapping."
TXN-6174,INV-0481,MATCH,"Exact amount, vendor, and single valid mapping."
TXN-6175,INV-0117,MATCH,"Exact amount, vendor, and single valid mapping."
TXN-6176,INV-0133,MATCH,"Exact amount, vendor, and single valid mapping."
TXN-6177,INV-0385,MATCH,"Exact amount, vendor, and single valid mapping."
TXN-6178,INV-0497,MATCH,"Exact amount, vendor, and single valid mapping."
TXN-6179,INV-0036,MATCH,"Exact amount, vendor, and single valid mapping."
TXN-6180,INV-0010,MATCH,"Exact amount, vendor, and single valid mapping."
TXN-6181,INV-0476,MATCH,"Exact amount, vendor, and single valid mapping."
TXN-6182,INV-0011,MATCH,"Exact amount, vendor, and single valid mapping."
TXN-6183,INV-0332,MATCH,"Exact amount, vendor, and single valid mapping."
TXN-6184,INV-0319,MATCH,"Exact amount, vendor, and single valid mapping."
TXN-6185,INV-0131,MATCH,"Exact amount, vendor, and single valid mapping."
TXN-6186,INV-0299,MATCH,"Exact amount, vendor, and single valid mapping."
TXN-6187,INV-0051,MATCH,"Exact amount, vendor, and single valid mapping."
TXN-6188,INV-0037,MATCH,"Exact amount, vendor, and single valid mapping."
TXN-6189,INV-0412,MATCH,"Exact amount, vendor, and single valid mapping."
TXN-6190,INV-0437,MATCH,"Exact amount, vendor, and single valid mapping."
TXN-6191,INV-0320,MATCH,"Exact amount, vendor, and single valid mapping."
TXN-6192,INV-0432,MATCH,"Exact amount, vendor, and single valid mapping."
TXN-6193,INV-0245,MATCH,"Exact amount, vendor, and single valid mapping."
TXN-6194,INV-0025,MATCH,"Exact amount, vendor, and single valid mapping."
TXN-6195,INV-0033,MATCH,"Exact amount, vendor, and single valid mapping."
TXN-6196,INV-0292,MATCH,"Exact amount, vendor, and single valid mapping."
TXN-6197,INV-0157,MATCH,"Exact amount, vendor, and single valid mapping."
TXN-6198,INV-0285,MATCH,"Exact amount, vendor, and single valid mapping."
TXN-6199,INV-0160,MATCH,"Exact amount, vendor, and single valid mapping."
TXN-6200,INV-0386,MATCH,"Exact amount, vendor, and single valid mapping."
TXN-6201,INV-0351,MATCH,"Exact amount, vendor, and single valid mapping."
TXN-6202,INV-0218,MATCH,"Exact amount, vendor, and single valid mapping."
TXN-6203,INV-0337,MATCH,"Exact amount, vendor, and single valid mapping."
TXN-6204,INV-0244,MATCH,"Exact amount, vendor, and single valid mapping."
TXN-6205,INV-0099,MATCH,"Exact amount, vendor, and single valid mapping."
TXN-6206,INV-0019,MATCH,"Exact amount, vendor, and single valid mapping."
TXN-6207,INV-0409,MATCH,"Exact amount, vendor, and single valid mapping."
TXN-6208,INV-0142,MATCH,"Exact amount, vendor, and single valid mapping."
TXN-6209,INV-0093,MATCH,"Exact amount, vendor, and single valid mapping."
TXN-6210,INV-0267,MATCH,"Exact amount, vendor, and single valid mapping."
TXN-6211,INV-0144,MATCH,"Exact amount, vendor, and single valid mapping."
TXN-6212,INV-0334,MATCH,"Exact amount, vendor, and single valid mapping."
TXN-6213,INV-0383,MATCH,"Exact amount, vendor, and single valid mapping."
TXN-6214,INV-0387,MATCH,"Exact amount, vendor, and single valid mapping."
TXN-6215,INV-0012,MATCH,"Exact amount, vendor, and single valid mapping."
TXN-6216,INV-0498,MATCH,"Exact amount, vendor, and single valid mapping."
TXN-6217,INV-0104,MATCH,"Exact amount, vendor, and single valid mapping."
TXN-6218,INV-0196,MATCH,"Exact amount, vendor, and single valid mapping."
TXN-6219,INV-0418,MATCH,"Exact amount, vendor, and single valid mapping."
TXN-6220,INV-0477,MATCH,"Exact amount, vendor, and single valid mapping."
TXN-6221,INV-0068,MATCH,"Exact amount, vendor, and single valid mapping."
TXN-6222,INV-0462,MATCH,"Exact amount, vendor, and single valid mapping."
TXN-6223,INV-0111,MATCH,"Exact amount, vendor, and single valid mapping."
TXN-6224,INV-0028,MATCH,"Exact amount, vendor, and single valid mapping."
TXN-6225,INV-0217,MATCH,"Exact amount, vendor, and single valid mapping."
TXN-6226,INV-0003,MATCH,"Exact amount, vendor, and single valid mapping."
TXN-6227,INV-0138,MATCH,"Exact amount, vendor, and single valid mapping."
TXN-6228,INV-0381,MATCH,"Exact amount, vendor, and single valid mapping."
TXN-6229,INV-0461,MATCH,"Exact amount, vendor, and single valid mapping."
TXN-6230,INV-0375,MATCH,"Exact amount, vendor, and single valid mapping."
TXN-6231,INV-0260,MATCH,"Exact amount, vendor, and single valid mapping."
TXN-6232,INV-0216,MATCH,"Exact amount, vendor, and single valid mapping."
TXN-6233,INV-0251,MATCH,"Exact amount, vendor, and single valid mapping."
TXN-6234,INV-0395,MATCH,"Exact amount, vendor, and single valid mapping."
TXN-6235,INV-0269,MATCH,"Exact amount, vendor, and single valid mapping."
TXN-6236,INV-0268,MATCH,"Exact amount, vendor, and single valid mapping."
TXN-6237,INV-0287,MATCH,"Exact amount, vendor, and single valid mapping."
TXN-6238,INV-0013,MATCH,"Exact amount, vendor, and single valid mapping."
TXN-6239,INV-0091,MATCH,"Exact amount, vendor, and single valid mapping."
TXN-6240,INV-0150,MATCH,"Exact amount, vendor, and single valid mapping."
TXN-6241,INV-0056,MATCH,"Exact amount, vendor, and single valid mapping."
TXN-6242,INV-0062,MATCH,"Exact amount, vendor, and single valid mapping."
TXN-6243,INV-0118,MATCH,"Exact amount, vendor, and single valid mapping."
TXN-6244,INV-0130,MATCH,"Exact amount, vendor, and single valid mapping."
TXN-6245,INV-0459,MATCH,"Exact amount, vendor, and single valid mapping."
TXN-6246,INV-0242,MATCH,"Exact amount, vendor, and single valid mapping."
TXN-6247,INV-0500,MATCH,"Exact amount, vendor, and single valid mapping."
TXN-6248,INV-0006,MATCH,"Exact amount, vendor, and single valid mapping."
TXN-6249,INV-0417,MATCH,"Exact amount, vendor, and single valid mapping."
TXN-6250,INV-0317,MATCH,"Exact amount, vendor, and single valid mapping."
TXN-6251,INV-0290,MATCH,"Exact amount, vendor, and single valid mapping."
TXN-6252,INV-0262,MATCH,"Exact amount, vendor, and single valid mapping."
TXN-6253,INV-0120,MATCH,"Exact amount, vendor, and single valid mapping."
TXN-6254,INV-0132,MATCH,"Exact amount, vendor, and single valid mapping."
TXN-6255,INV-0302,MATCH,"Exact amount, vendor, and single valid mapping."
TXN-6256,INV-0431,MATCH,"Exact amount, vendor, and single valid mapping."
TXN-6257,INV-0390,MATCH,"Exact amount, vendor, and single valid mapping."
TXN-6258,INV-0098,MATCH,"Exact amount, vendor, and single valid mapping."
TXN-6259,INV-0360,MATCH,"Exact amount, vendor, and single valid mapping."
TXN-6260,INV-0168,MATCH,"Exact amount, vendor, and single valid mapping."
TXN-6261,INV-0472,MATCH,"Exact amount, vendor, and single valid mapping."
TXN-6262,INV-0436,MATCH,"Exact amount, vendor, and single valid mapping."
TXN-6263,INV-0215,MATCH,"Exact amount, vendor, and single valid mapping."
TXN-6264,INV-0456,MATCH,"Exact amount, vendor, and single valid mapping."
TXN-6265,INV-0300,MATCH,"Exact amount, vendor, and single valid mapping."
TXN-6266,INV-0026,MATCH,"Exact amount, vendor, and single valid mapping."
TXN-6267,INV-0050,MATCH,"Exact amount, vendor, and single valid mapping."
TXN-6268,INV-0073,MATCH,"Exact amount, vendor, and single valid mapping."
TXN-6269,INV-0127,MATCH,"Exact amount, vendor, and single valid mapping."
TXN-6270,INV-0358,MATCH,"Exact amount, vendor, and single valid mapping."
TXN-6271,INV-0137,MATCH,"Exact amount, vendor, and single valid mapping."
TXN-6272,INV-0388,MATCH,"Exact amount, vendor, and single valid mapping."
TXN-6273,INV-0357,MATCH,"Exact amount, vendor, and single valid mapping."
TXN-6274,INV-0124,MATCH,"Exact amount, vendor, and single valid mapping."
TXN-6275,INV-0466,MATCH,"Exact amount, vendor, and single valid mapping."
TXN-6276,INV-0055,MATCH,"Exact amount, vendor, and single valid mapping."
TXN-6277,INV-0264,MATCH,"Exact amount, vendor, and single valid mapping."
TXN-6278,INV-0449,MATCH,"Exact amount, vendor, and single valid mapping."
TXN-6279,INV-0451,MATCH,"Exact amount, vendor, and single valid mapping."
TXN-6280,INV-0205,MATCH,"Exact amount, vendor, and single valid mapping."
TXN-6281,INV-0496,MATCH,"Exact amount, vendor, and single valid mapping."
TXN-6282,INV-0483,MATCH,"Exact amount, vendor, and single valid mapping."
TXN-6283,INV-0439,MATCH,"Exact amount, vendor, and single valid mapping."
TXN-6284,INV-0470,MATCH,"Exact amount, vendor, and single valid mapping."
TXN-6285,INV-0175,MATCH,"Exact amount, vendor, and single valid mapping."
TXN-6286,INV-0105,MATCH,"Exact amount, vendor, and single valid mapping."
TXN-6287,INV-0238,MATCH,"Exact amount, vendor, and single valid mapping."
TXN-6288,INV-0318,MATCH,"Exact amount, vendor, and single valid mapping."
TXN-6289,INV-0213,MATCH,"Exact amount, vendor, and single valid mapping."
TXN-6290,INV-0226,MATCH,"Exact amount, vendor, and single valid mapping."
TXN-6291,INV-0425,MATCH,"Exact amount, vendor, and single valid mapping."
TXN-6292,INV-0031,MATCH,"Exact amount, vendor, and single valid mapping."
TXN-6293,INV-0394,MATCH,"Exact amount, vendor, and single valid mapping."
TXN-6294,INV-0233,MATCH,"Exact amount, vendor, and single valid mapping."
TXN-6295,INV-0153,MATCH,"Exact amount, vendor, and single valid mapping."
TXN-6296,INV-0478,MATCH,"Exact amount, vendor, and single valid mapping."
TXN-6297,INV-0126,MATCH,"Exact amount, vendor, and single valid mapping."
TXN-6298,INV-0248,MATCH,"Exact amount, vendor, and single valid mapping."
TXN-6299,INV-0155,MATCH,"Exact amount, vendor, and single valid mapping."
TXN-6300,INV-0460,MATCH,"Exact amount, vendor, and single valid mapping."
TXN-6301,INV-0280,MATCH,"Exact amount, vendor, and single valid mapping."
TXN-6302,INV-0255,MATCH,"Exact amount, vendor, and single valid mapping."
TXN-6303,INV-0471,MATCH,"Exact amount, vendor, and single valid mapping."
TXN-6304,INV-0214,MATCH,"Exact amount, vendor, and single valid mapping."
TXN-6305,INV-0293,MATCH,"Exact amount, vendor, and single valid mapping."
TXN-6306,INV-0108,MATCH,"Exact amount, vendor, and single valid mapping."
TXN-6307,INV-0136,MATCH,"Exact amount, vendor, and single valid mapping."
TXN-6308,INV-0296,MATCH,"Exact amount, vendor, and single valid mapping."
TXN-6309,INV-0024,MATCH,"Exact amount, vendor, and single valid mapping."
TXN-6310,INV-0042,MATCH,"Exact amount, vendor, and single valid mapping."
TXN-6311,INV-0015,MATCH,"Exact amount, vendor, and single valid mapping."
TXN-6312,INV-0492,MATCH,"Exact amount, vendor, and single valid mapping."
TXN-6313,INV-0289,MATCH,"Exact amount, vendor, and single valid mapping."
TXN-6314,INV-0173,MATCH,"Exact amount, vendor, and single valid mapping."
TXN-6315,INV-0453,MATCH,"Exact amount, vendor, and single valid mapping."
TXN-6316,INV-0088,MATCH,"Exact amount, vendor, and single valid mapping."
TXN-6317,INV-0405,MATCH,"Exact amount, vendor, and single valid mapping."
TXN-6318,INV-0298,MATCH,"Exact amount, vendor, and single valid mapping."
TXN-6319,INV-0304,MATCH,"Exact amount, vendor, and single valid mapping."
TXN-6320,INV-0087,MATCH,"Exact amount, vendor, and single valid mapping."
TXN-6321,INV-0346,MATCH,"Exact amount, vendor, and single valid mapping."
TXN-6322,INV-0048,MATCH,"Exact amount, vendor, and single valid mapping."
TXN-6323,INV-0274,MATCH,"Exact amount, vendor, and single valid mapping."
TXN-6324,INV-0487,MATCH,"Exact amount, vendor, and single valid mapping."
TXN-6325,INV-0341,MATCH,"Exact amount, vendor, and single valid mapping."
TXN-6326,INV-0321,MATCH,"Exact amount, vendor, and single valid mapping."
TXN-6327,INV-0362,MATCH,"Exact amount, vendor, and single valid mapping."
TXN-6328,INV-0485,MATCH,"Exact amount, vendor, and single valid mapping."
TXN-6329,INV-0352,MATCH,"Exact amount, vendor, and single valid mapping."
TXN-6330,INV-0326,MATCH,"Exact amount, vendor, and single valid mapping."
TXN-6331,INV-0101,MATCH,"Exact amount, vendor, and single valid mapping."
TXN-6332,INV-0129,MATCH,"Exact amount, vendor, and single valid mapping."
TXN-6333,INV-0041,MATCH,"Exact amount, vendor, and single valid mapping."
TXN-6334,INV-0146,MATCH,"Exact amount, vendor, and single valid mapping."
TXN-6335,INV-0343,MATCH,"Exact amount, vendor, and single valid mapping."
TXN-6336,INV-0404,MATCH,"Exact amount, vendor, and single valid mapping."
TXN-6337,INV-0116,MATCH,"Exact amount, vendor, and single valid mapping."
TXN-6338,INV-0166,MATCH,"Exact amount, vendor, and single valid mapping."
TXN-6339,INV-0083,MATCH,"Exact amount, vendor, and single valid mapping."
TXN-6340,INV-0085,MATCH,"Exact amount, vendor, and single valid mapping."
TXN-6341,INV-0156,MATCH,"Exact amount, vendor, and single valid mapping."
TXN-6342,INV-0452,MATCH,"Exact amount, vendor, and single valid mapping."
TXN-6343,INV-0430,MATCH,"Exact amount, vendor, and single valid mapping."
TXN-6344,INV-0064,MATCH,"Exact amount, vendor, and single valid mapping."
TXN-6345,INV-0029,MATCH,"Exact amount, vendor, and single valid mapping."
TXN-6346,INV-0258,MATCH,"Exact amount, vendor, and single valid mapping."
TXN-6347,INV-0222,MATCH,"Exact amount, vendor, and single valid mapping."
TXN-6348,INV-0376,MATCH,"Exact amount, vendor, and single valid mapping."
TXN-6349,INV-0094,MATCH,"Exact amount, vendor, and single valid mapping."
TXN-6350,INV-0301,MATCH,"Exact amount, vendor, and single valid mapping."
TXN-6351,INV-0484,MATCH,"Exact amount, vendor, and single valid mapping."
TXN-6352,INV-0433,MATCH,"Exact amount, vendor, and single valid mapping."
TXN-6353,INV-0066,MATCH,"Exact amount, vendor, and single valid mapping."
TXN-6354,INV-0177,MATCH,"Exact amount, vendor, and single valid mapping."
TXN-6355,INV-0265,MATCH,"Exact amount, vendor, and single valid mapping."
TXN-6356,INV-0349,MATCH,"Exact amount, vendor, and single valid mapping."
TXN-6357,INV-0239,MATCH,"Exact amount, vendor, and single valid mapping."
TXN-6358,INV-0450,MATCH,"Exact amount, vendor, and single valid mapping."
TXN-6359,INV-0363,MATCH,"Exact amount, vendor, and single valid mapping."
TXN-6360,INV-0329,MATCH,"Exact amount, vendor, and single valid mapping."
TXN-6361,INV-0163,MATCH,"Exact amount, vendor, and single valid mapping."
TXN-6362,INV-0463,MATCH,"Exact amount, vendor, and single valid mapping."
TXN-6363,INV-0413,MATCH,"Exact amount, vendor, and single valid mapping."
TXN-6364,INV-0295,MATCH,"Exact amount, vendor, and single valid mapping."
TXN-6365,INV-0210,MATCH,"Exact amount, vendor, and single valid mapping."
TXN-6366,INV-0211,MATCH,"Exact amount, vendor, and single valid mapping."
TXN-6367,INV-0270,MATCH,"Exact amount, vendor, and single valid mapping."
