transaction_id,transaction_date,description,amount,currency,transaction_type,reference,bank_status
TXN-6016,2026-07-04,BANK TRANSFER ZEPHYR DIGITAL MEDIA,62750.0,INR,CREDIT,REF-TXN-6016,SETTLED
TXN-6017,2026-05-19,IMPS/KAVERI/INV/2025-26/1198,149450.0,INR,CREDIT,REF-TXN-6017,SETTLED
TXN-6018,2026-03-03,RTGS/TRIDENT SUPPLY /REF-826420,278850.0,INR,CREDIT,REF-TXN-6018,SETTLED
TXN-6019,2025-10-17,NEFT/ZEPHYR DIGITAL MEDIA,114800.0,INR,CREDIT,REF-TXN-6019,SETTLED
TXN-6020,2026-03-31,RTGS/ZEPHYR DIGITAL /REF-421709,255850.0,INR,CREDIT,REF-TXN-6020,SETTLED
TXN-6021,2026-01-23,BANK TRANSFER BHARAT FUEL SERVICES,180250.0,INR,CREDIT,REF-TXN-6021,SETTLED
TXN-6022,2026-03-26,NEFT/KAVERI ENTERPRISES SOLUTIONS,358450.0,INR,CREDIT,REF-TXN-6022,SETTLED
TXN-6023,2026-05-20,BANK TRANSFER CLOUDNOVA TECHNOLOGIES PVT LTD,288800.0,INR,CREDIT,REF-TXN-6023,SETTLED
TXN-6024,2026-04-23,RTGS/STERLING OFFICE/REF-329772,247550.0,INR,CREDIT,REF-TXN-6024,SETTLED
TXN-6025,2025-10-29,UPI/ZEPHYR DIGIT@okbank/PAYMENT,297600.0,INR,CREDIT,REF-TXN-6025,SETTLED
TXN-6026,2025-12-04,UPI/APEX INFRAWO@okbank/PAYMENT,215050.0,INR,CREDIT,REF-TXN-6026,SETTLED
TXN-6027,2026-08-02,BANK TRANSFER METRO LOGISTICS SOLUTIONS,499500.0,INR,CREDIT,REF-TXN-6027,SETTLED
TXN-6028,2025-12-26,RTGS/METRO LOGISTICS/REF-898867,48700.0,INR,CREDIT,REF-TXN-6028,SETTLED
TXN-6029,2025-10-02,NEFT/METRO LOGISTICS SOLUTIONS,313850.0,INR,CREDIT,REF-TXN-6029,SETTLED
TXN-6030,2025-11-10,BANK TRANSFER TRIDENT SUPPLY CHAIN SOLUTIONS,269250.0,INR,CREDIT,REF-TXN-6030,SETTLED
TXN-6031,2025-12-29,BANK TRANSFER METRO LOGISTICS SOLUTIONS,203550.0,INR,CREDIT,REF-TXN-6031,SETTLED
TXN-6032,2026-01-15,BANK TRANSFER METRO LOGISTICS SOLUTIONS,20950.0,INR,CREDIT,REF-TXN-6032,SETTLED
TXN-6033,2026-02-17,BANK TRANSFER STERLING OFFICE SUPPLIES,50400.0,INR,CREDIT,REF-TXN-6033,SETTLED
TXN-6034,2026-04-22,RTGS/TRIDENT SUPPLY /REF-257131,36850.0,INR,CREDIT,REF-TXN-6034,SETTLED
TXN-6035,2025-10-10,BANK TRANSFER CLOUDNOVA TECHNOLOGIES PVT LTD,271150.0,INR,CREDIT,REF-TXN-6035,SETTLED
TXN-6036,2026-07-20,RTGS/BHARAT FUEL SER/REF-221886,367950.0,INR,CREDIT,REF-TXN-6036,SETTLED
TXN-6037,2026-07-24,NEFT/STERLING OFFICE SUPPLIES,221750.0,INR,CREDIT,REF-TXN-6037,SETTLED
TXN-6038,2026-02-20,NEFT/ZEPHYR DIGITAL MEDIA,23550.0,INR,CREDIT,REF-TXN-6038,SETTLED
TXN-6039,2025-11-25,BANK TRANSFER VANGUARD SECURITY SERVICES,163400.0,INR,CREDIT,REF-TXN-6039,SETTLED
TXN-6040,2026-04-27,BANK TRANSFER KAVERI ENTERPRISES SOLUTIONS,173850.0,INR,CREDIT,REF-TXN-6040,SETTLED
TXN-6041,2026-04-08,UPI/CLOUDNOVA TE@okbank/PAYMENT,253550.0,INR,CREDIT,REF-TXN-6041,SETTLED
TXN-6042,2025-09-24,NEFT/METRO LOGISTICS SOLUTIONS,325750.0,INR,CREDIT,REF-TXN-6042,SETTLED
TXN-6043,2025-10-23,NEFT/CLOUDNOVA TECHNOLOGIES PVT LTD,24900.0,INR,CREDIT,REF-TXN-6043,SETTLED
TXN-6044,2025-12-07,NEFT/KAVERI ENTERPRISES SOLUTIONS,398850.0,INR,CREDIT,REF-TXN-6044,SETTLED
TXN-6045,2026-08-17,IMPS/TRIDENT/INV/2025-26/1075,347000.0,INR,CREDIT,REF-TXN-6045,SETTLED
TXN-6046,2026-05-22,NEFT/BHARAT FUEL SERVICES,360450.0,INR,CREDIT,REF-TXN-6046,SETTLED
TXN-6047,2026-05-30,NEFT/METRO LOGISTICS SOLUTIONS,416350.0,INR,CREDIT,REF-TXN-6047,SETTLED
TXN-6048,2026-08-10,RTGS/APEX INFRAWORKS/REF-528728,381100.0,INR,CREDIT,REF-TXN-6048,SETTLED
TXN-6049,2026-07-02,UPI/CLOUDNOVA TE@okbank/PAYMENT,236100.0,INR,CREDIT,REF-TXN-6049,SETTLED
TXN-6050,2026-06-24,UPI/ZEPHYR DIGIT@okbank/PAYMENT,196100.0,INR,CREDIT,REF-TXN-6050,SETTLED
TXN-6051,2026-05-23,NEFT/STERLING OFFICE SUPPLIES,446200.0,INR,CREDIT,REF-TXN-6051,SETTLED
TXN-6052,2026-08-15,IMPS/ZEPHYR/INV/2025-26/1230,217250.0,INR,CREDIT,REF-TXN-6052,SETTLED
TXN-6053,2026-07-04,BANK TRANSFER OMNIWARE SYSTEMS INDIA,398350.0,INR,CREDIT,REF-TXN-6053,SETTLED
TXN-6054,2025-09-14,RTGS/VANGUARD SECURI/REF-654531,265700.0,INR,CREDIT,REF-TXN-6054,SETTLED
TXN-6055,2025-10-07,NEFT/TRIDENT SUPPLY CHAIN SOLUTIONS,372400.0,INR,CREDIT,REF-TXN-6055,SETTLED
TXN-6056,2025-10-22,UPI/ZEPHYR DIGIT@okbank/PAYMENT,348750.0,INR,CREDIT,REF-TXN-6056,SETTLED
TXN-6057,2026-05-30,BANK TRANSFER METRO LOGISTICS SOLUTIONS,435150.0,INR,CREDIT,REF-TXN-6057,SETTLED
TXN-6058,2026-06-17,RTGS/OMNIWARE SYSTEM/REF-963355,400700.0,INR,CREDIT,REF-TXN-6058,SETTLED
TXN-6059,2026-03-15,IMPS/TRIDENT/INV/2025-26/1322,479350.0,INR,CREDIT,REF-TXN-6059,SETTLED
TXN-6060,2026-04-22,RTGS/VANGUARD SECURI/REF-389039,361400.0,INR,CREDIT,REF-TXN-6060,SETTLED
TXN-6061,2026-07-23,UPI/STERLING OFF@okbank/PAYMENT,277800.0,INR,CREDIT,REF-TXN-6061,SETTLED
TXN-6062,2026-08-09,NEFT/KAVERI ENTERPRISES SOLUTIONS,446500.0,INR,CREDIT,REF-TXN-6062,SETTLED
TXN-6063,2025-11-07,NEFT/ZEPHYR DIGITAL MEDIA,442200.0,INR,CREDIT,REF-TXN-6063,SETTLED
TXN-6064,2026-07-14,NEFT/ZEPHYR DIGITAL MEDIA,217200.0,INR,CREDIT,REF-TXN-6064,SETTLED
TXN-6065,2025-09-21,NEFT/METRO LOGISTICS SOLUTIONS,474550.0,INR,CREDIT,REF-TXN-6065,SETTLED
TXN-6066,2025-11-19,NEFT/STERLING OFFICE SUPPLIES,399150.0,INR,CREDIT,REF-TXN-6066,SETTLED
TXN-6067,2026-01-10,RTGS/APEX INFRAWORKS/REF-560285,32550.0,INR,CREDIT,REF-TXN-6067,SETTLED
TXN-6068,2025-10-28,NEFT/VANGUARD SECURITY SERVICES,275050.0,INR,CREDIT,REF-TXN-6068,SETTLED
TXN-6069,2026-06-08,IMPS/KAVERI/INV/2025-26/1206,388150.0,INR,CREDIT,REF-TXN-6069,SETTLED
TXN-6070,2025-12-11,BANK TRANSFER TRIDENT SUPPLY CHAIN SOLUTIONS,184500.0,INR,CREDIT,REF-TXN-6070,SETTLED
TXN-6071,2026-01-11,BANK TRANSFER APEX INFRAWORKS INDIA,42550.0,INR,CREDIT,REF-TXN-6071,SETTLED
TXN-6072,2025-09-17,IMPS/VANGUARD/INV/2025-26/1378,456550.0,INR,CREDIT,REF-TXN-6072,SETTLED
TXN-6073,2025-10-14,BANK TRANSFER METRO LOGISTICS SOLUTIONS,373000.0,INR,CREDIT,REF-TXN-6073,SETTLED
TXN-6074,2026-06-09,IMPS/KAVERI/INV/2025-26/1207,349050.0,INR,CREDIT,REF-TXN-6074,SETTLED
TXN-6075,2026-06-21,BANK TRANSFER ZEPHYR DIGITAL MEDIA,312900.0,INR,CREDIT,REF-TXN-6075,SETTLED
TXN-6076,2025-11-20,RTGS/METRO LOGISTICS/REF-870925,351600.0,INR,CREDIT,REF-TXN-6076,SETTLED
TXN-6077,2026-08-20,UPI/STERLING OFF@okbank/PAYMENT,327900.0,INR,CREDIT,REF-TXN-6077,SETTLED
TXN-6078,2026-01-12,UPI/STERLING OFF@okbank/PAYMENT,127800.0,INR,CREDIT,REF-TXN-6078,SETTLED
TXN-6079,2026-08-12,UPI/ZEPHYR DIGIT@okbank/PAYMENT,127250.0,INR,CREDIT,REF-TXN-6079,SETTLED
TXN-6080,2026-01-10,IMPS/KAVERI/INV/2025-26/1092,56850.0,INR,CREDIT,REF-TXN-6080,SETTLED
TXN-6081,2026-03-28,BANK TRANSFER VANGUARD SECURITY SERVICES,307950.0,INR,CREDIT,REF-TXN-6081,SETTLED
TXN-6082,2026-02-08,RTGS/BHARAT FUEL SER/REF-352673,363150.0,INR,CREDIT,REF-TXN-6082,SETTLED
TXN-6083,2025-09-18,RTGS/METRO LOGISTICS/REF-999197,33450.0,INR,CREDIT,REF-TXN-6083,SETTLED
TXN-6084,2026-03-12,BANK TRANSFER OMNIWARE SYSTEMS INDIA,417050.0,INR,CREDIT,REF-TXN-6084,SETTLED
TXN-6085,2025-10-17,BANK TRANSFER OMNIWARE SYSTEMS INDIA,429700.0,INR,CREDIT,REF-TXN-6085,SETTLED
TXN-6086,2026-01-05,UPI/BHARAT FUEL @okbank/PAYMENT,234950.0,INR,CREDIT,REF-TXN-6086,SETTLED
TXN-6087,2025-09-27,RTGS/BHARAT FUEL SER/REF-367382,362600.0,INR,CREDIT,REF-TXN-6087,SETTLED
TXN-6088,2026-05-21,NEFT/METRO LOGISTICS SOLUTIONS,487150.0,INR,CREDIT,REF-TXN-6088,SETTLED
TXN-6089,2026-01-19,IMPS/APEX/INV/2025-26/1171,41650.0,INR,CREDIT,REF-TXN-6089,SETTLED
TXN-6090,2025-11-05,RTGS/KAVERI ENTERPRI/REF-661654,180150.0,INR,CREDIT,REF-TXN-6090,SETTLED
TXN-6091,2026-02-07,UPI/VANGUARD SEC@okbank/PAYMENT,220350.0,INR,CREDIT,REF-TXN-6091,SETTLED
TXN-6092,2026-06-14,NEFT/BHARAT FUEL SERVICES,489300.0,INR,CREDIT,REF-TXN-6092,SETTLED
TXN-6093,2026-08-07,BANK TRANSFER KAVERI ENTERPRISES SOLUTIONS,89250.0,INR,CREDIT,REF-TXN-6093,SETTLED
TXN-6094,2026-05-11,UPI/OMNIWARE SYS@okbank/PAYMENT,445350.0,INR,CREDIT,REF-TXN-6094,SETTLED
TXN-6095,2026-01-01,IMPS/STERLING/INV/2025-26/1475,471550.0,INR,CREDIT,REF-TXN-6095,SETTLED
TXN-6096,2025-09-04,RTGS/ZEPHYR DIGITAL /REF-322096,489650.0,INR,CREDIT,REF-TXN-6096,SETTLED
TXN-6097,2026-01-26,UPI/TRIDENT SUPP@okbank/PAYMENT,395200.0,INR,CREDIT,REF-TXN-6097,SETTLED
TXN-6098,2025-11-01,BANK TRANSFER TRIDENT SUPPLY CHAIN SOLUTIONS,189350.0,INR,CREDIT,REF-TXN-6098,SETTLED
TXN-6099,2026-05-02,RTGS/VANGUARD SECURI/REF-515898,312100.0,INR,CREDIT,REF-TXN-6099,SETTLED
TXN-6100,2026-02-15,IMPS/METRO/INV/2025-26/1046,297850.0,INR,CREDIT,REF-TXN-6100,SETTLED
TXN-6101,2026-07-24,BANK TRANSFER METRO LOGISTICS SOLUTIONS,145600.0,INR,CREDIT,REF-TXN-6101,SETTLED
TXN-6102,2026-07-27,IMPS/KAVERI/INV/2025-26/1308,179900.0,INR,CREDIT,REF-TXN-6102,SETTLED
TXN-6103,2026-04-19,UPI/ZEPHYR DIGIT@okbank/PAYMENT,62250.0,INR,CREDIT,REF-TXN-6103,SETTLED
TXN-6104,2026-08-13,UPI/VANGUARD SEC@okbank/PAYMENT,462800.0,INR,CREDIT,REF-TXN-6104,SETTLED
TXN-6105,2026-07-28,IMPS/OMNIWARE/INV/2025-26/1023,221600.0,INR,CREDIT,REF-TXN-6105,SETTLED
TXN-6106,2026-06-17,NEFT/METRO LOGISTICS SOLUTIONS,254100.0,INR,CREDIT,REF-TXN-6106,SETTLED
TXN-6107,2025-10-25,RTGS/STERLING OFFICE/REF-332022,157000.0,INR,CREDIT,REF-TXN-6107,SETTLED
TXN-6108,2026-06-22,BANK TRANSFER BHARAT FUEL SERVICES,227000.0,INR,CREDIT,REF-TXN-6108,SETTLED
TXN-6109,2026-08-21,UPI/STERLING OFF@okbank/PAYMENT,270500.0,INR,CREDIT,REF-TXN-6109,SETTLED
TXN-6110,2026-06-13,RTGS/BHARAT FUEL SER/REF-259814,475900.0,INR,CREDIT,REF-TXN-6110,SETTLED
TXN-6111,2026-05-01,UPI/OMNIWARE SYS@okbank/PAYMENT,135700.0,INR,CREDIT,REF-TXN-6111,SETTLED
TXN-6112,2026-06-23,RTGS/VANGUARD SECURI/REF-973844,226800.0,INR,CREDIT,REF-TXN-6112,SETTLED
TXN-6113,2025-12-26,IMPS/VANGUARD/INV/2025-26/1027,258250.0,INR,CREDIT,REF-TXN-6113,SETTLED
TXN-6114,2025-09-20,UPI/APEX INFRAWO@okbank/PAYMENT,406250.0,INR,CREDIT,REF-TXN-6114,SETTLED
TXN-6115,2025-10-20,RTGS/ZEPHYR DIGITAL /REF-583214,316800.0,INR,CREDIT,REF-TXN-6115,SETTLED
TXN-6116,2026-04-21,RTGS/BHARAT FUEL SER/REF-277487,122200.0,INR,CREDIT,REF-TXN-6116,SETTLED
TXN-6117,2025-09-14,RTGS/VANGUARD SECURI/REF-612036,228350.0,INR,CREDIT,REF-TXN-6117,SETTLED
TXN-6118,2025-12-12,NEFT/TRIDENT SUPPLY CHAIN SOLUTIONS,24200.0,INR,CREDIT,REF-TXN-6118,SETTLED
TXN-6119,2026-02-04,NEFT/CLOUDNOVA TECHNOLOGIES PVT LTD,190100.0,INR,CREDIT,REF-TXN-6119,SETTLED
TXN-6120,2026-02-23,NEFT/ZEPHYR DIGITAL MEDIA,84700.0,INR,CREDIT,REF-TXN-6120,SETTLED
TXN-6121,2026-08-15,RTGS/KAVERI ENTERPRI/REF-244170,337750.0,INR,CREDIT,REF-TXN-6121,SETTLED
TXN-6122,2025-10-09,RTGS/METRO LOGISTICS/REF-841521,281800.0,INR,CREDIT,REF-TXN-6122,SETTLED
TXN-6123,2025-10-05,BANK TRANSFER BHARAT FUEL SERVICES,359100.0,INR,CREDIT,REF-TXN-6123,SETTLED
TXN-6124,2026-05-17,NEFT/OMNIWARE SYSTEMS INDIA,88900.0,INR,CREDIT,REF-TXN-6124,SETTLED
TXN-6125,2026-08-03,BANK TRANSFER CLOUDNOVA TECHNOLOGIES PVT LTD,76100.0,INR,CREDIT,REF-TXN-6125,SETTLED
TXN-6126,2025-12-30,UPI/TRIDENT SUPP@okbank/PAYMENT,37700.0,INR,CREDIT,REF-TXN-6126,SETTLED
TXN-6127,2026-06-20,BANK TRANSFER TRIDENT SUPPLY CHAIN SOLUTIONS,149150.0,INR,CREDIT,REF-TXN-6127,SETTLED
TXN-6128,2026-06-02,NEFT/KAVERI ENTERPRISES SOLUTIONS,359350.0,INR,CREDIT,REF-TXN-6128,SETTLED
TXN-6129,2025-11-08,IMPS/VANGUARD/INV/2025-26/1106,453100.0,INR,CREDIT,REF-TXN-6129,SETTLED
TXN-6130,2026-05-09,NEFT/TRIDENT SUPPLY CHAIN SOLUTIONS,67550.0,INR,CREDIT,REF-TXN-6130,SETTLED
TXN-6131,2026-07-17,UPI/VANGUARD SEC@okbank/PAYMENT,40650.0,INR,CREDIT,REF-TXN-6131,SETTLED
TXN-6132,2026-05-27,NEFT/OMNIWARE SYSTEMS INDIA,412450.0,INR,CREDIT,REF-TXN-6132,SETTLED
TXN-6133,2025-11-30,RTGS/ZEPHYR DIGITAL /REF-256130,219050.0,INR,CREDIT,REF-TXN-6133,SETTLED
TXN-6134,2026-08-26,BANK TRANSFER OMNIWARE SYSTEMS INDIA,436750.0,INR,CREDIT,REF-TXN-6134,SETTLED
TXN-6135,2026-08-05,IMPS/APEX/INV/2025-26/1049,105650.0,INR,CREDIT,REF-TXN-6135,SETTLED
TXN-6136,2026-05-03,UPI/BHARAT FUEL @okbank/PAYMENT,130850.0,INR,CREDIT,REF-TXN-6136,SETTLED
TXN-6137,2026-01-16,UPI/OMNIWARE SYS@okbank/PAYMENT,279200.0,INR,CREDIT,REF-TXN-6137,SETTLED
TXN-6138,2025-12-09,RTGS/KAVERI ENTERPRI/REF-692447,253500.0,INR,CREDIT,REF-TXN-6138,SETTLED
TXN-6139,2026-01-19,NEFT/CLOUDNOVA TECHNOLOGIES PVT LTD,324700.0,INR,CREDIT,REF-TXN-6139,SETTLED
TXN-6140,2026-08-04,UPI/BHARAT FUEL @okbank/PAYMENT,304400.0,INR,CREDIT,REF-TXN-6140,SETTLED
TXN-6141,2025-10-07,BANK TRANSFER STERLING OFFICE SUPPLIES,124050.0,INR,CREDIT,REF-TXN-6141,SETTLED
TXN-6142,2026-06-07,NEFT/APEX INFRAWORKS INDIA,442350.0,INR,CREDIT,REF-TXN-6142,SETTLED
TXN-6143,2026-07-06,UPI/KAVERI ENTER@okbank/PAYMENT,357950.0,INR,CREDIT,REF-TXN-6143,SETTLED
TXN-6144,2026-04-07,IMPS/TRIDENT/INV/2025-26/1313,268100.0,INR,CREDIT,REF-TXN-6144,SETTLED
TXN-6145,2026-01-21,NEFT/METRO LOGISTICS SOLUTIONS,16050.0,INR,CREDIT,REF-TXN-6145,SETTLED
TXN-6146,2026-04-03,RTGS/METRO LOGISTICS/REF-144618,54000.0,INR,CREDIT,REF-TXN-6146,SETTLED
TXN-6147,2026-02-05,BANK TRANSFER CLOUDNOVA TECHNOLOGIES PVT LTD,259000.0,INR,CREDIT,REF-TXN-6147,SETTLED
TXN-6148,2025-12-30,NEFT/STERLING OFFICE SUPPLIES,344150.0,INR,CREDIT,REF-TXN-6148,SETTLED
TXN-6149,2026-04-24,IMPS/BHARAT/INV/2025-26/1250,75200.0,INR,CREDIT,REF-TXN-6149,SETTLED
TXN-6150,2026-02-15,NEFT/APEX INFRAWORKS INDIA,34750.0,INR,CREDIT,REF-TXN-6150,SETTLED
TXN-6151,2026-08-03,IMPS/APEX/INV/2025-26/1345,90550.0,INR,CREDIT,REF-TXN-6151,SETTLED
TXN-6152,2025-10-28,BANK TRANSFER KAVERI ENTERPRISES SOLUTIONS,200000.0,INR,CREDIT,REF-TXN-6152,SETTLED
TXN-6153,2026-08-03,UPI/STERLING OFF@okbank/PAYMENT,245750.0,INR,CREDIT,REF-TXN-6153,SETTLED
TXN-6154,2026-07-01,RTGS/ZEPHYR DIGITAL /REF-413814,414450.0,INR,CREDIT,REF-TXN-6154,SETTLED
TXN-6155,2026-06-08,BANK TRANSFER BHARAT FUEL SERVICES,82150.0,INR,CREDIT,REF-TXN-6155,SETTLED
TXN-6156,2026-04-27,BANK TRANSFER STERLING OFFICE SUPPLIES,309500.0,INR,CREDIT,REF-TXN-6156,SETTLED
TXN-6157,2026-04-09,RTGS/CLOUDNOVA TECHN/REF-502491,87800.0,INR,CREDIT,REF-TXN-6157,SETTLED
TXN-6158,2026-01-04,IMPS/TRIDENT/INV/2025-26/1297,376950.0,INR,CREDIT,REF-TXN-6158,SETTLED
TXN-6159,2026-01-17,UPI/TRIDENT SUPP@okbank/PAYMENT,2600.0,INR,CREDIT,REF-TXN-6159,SETTLED
TXN-6160,2025-11-12,NEFT/OMNIWARE SYSTEMS INDIA,57500.0,INR,CREDIT,REF-TXN-6160,SETTLED
TXN-6161,2026-08-10,BANK TRANSFER OMNIWARE SYSTEMS INDIA,290150.0,INR,CREDIT,REF-TXN-6161,SETTLED
TXN-6162,2025-12-14,IMPS/APEX/INV/2025-26/1448,133400.0,INR,CREDIT,REF-TXN-6162,SETTLED
TXN-6163,2026-07-17,IMPS/TRIDENT/INV/2025-26/1152,203000.0,INR,CREDIT,REF-TXN-6163,SETTLED
TXN-6164,2025-10-07,RTGS/TRIDENT SUPPLY /REF-614435,178800.0,INR,CREDIT,REF-TXN-6164,SETTLED
TXN-6165,2025-10-07,UPI/APEX INFRAWO@okbank/PAYMENT,175750.0,INR,CREDIT,REF-TXN-6165,SETTLED
TXN-6166,2026-04-18,BANK TRANSFER BHARAT FUEL SERVICES,381300.0,INR,CREDIT,REF-TXN-6166,SETTLED
TXN-6167,2026-07-20,BANK TRANSFER BHARAT FUEL SERVICES,21000.0,INR,CREDIT,REF-TXN-6167,SETTLED
TXN-6168,2026-04-02,RTGS/STERLING OFFICE/REF-936821,378950.0,INR,CREDIT,REF-TXN-6168,SETTLED
TXN-6169,2025-09-18,IMPS/ZEPHYR/INV/2025-26/1277,337000.0,INR,CREDIT,REF-TXN-6169,SETTLED
TXN-6170,2026-03-31,RTGS/CLOUDNOVA TECHN/REF-498458,67650.0,INR,CREDIT,REF-TXN-6170,SETTLED
TXN-6171,2025-12-26,IMPS/METRO/INV/2025-26/1179,462500.0,INR,CREDIT,REF-TXN-6171,SETTLED
TXN-6172,2026-04-17,NEFT/STERLING OFFICE SUPPLIES,30550.0,INR,CREDIT,REF-TXN-6172,SETTLED
TXN-6173,2026-07-31,IMPS/KAVERI/INV/2025-26/1325,181800.0,INR,CREDIT,REF-TXN-6173,SETTLED
TXN-6174,2026-03-20,RTGS/STERLING OFFICE/REF-207197,17150.0,INR,CREDIT,REF-TXN-6174,SETTLED
TXN-6175,2026-02-11,UPI/ZEPHYR DIGIT@okbank/PAYMENT,326900.0,INR,CREDIT,REF-TXN-6175,SETTLED
TXN-6176,2026-02-09,BANK TRANSFER APEX INFRAWORKS INDIA,466700.0,INR,CREDIT,REF-TXN-6176,SETTLED
TXN-6177,2026-02-16,NEFT/APEX INFRAWORKS INDIA,303600.0,INR,CREDIT,REF-TXN-6177,SETTLED
TXN-6178,2026-03-30,IMPS/TRIDENT/INV/2025-26/1497,68150.0,INR,CREDIT,REF-TXN-6178,SETTLED
TXN-6179,2026-06-08,BANK TRANSFER VANGUARD SECURITY SERVICES,383900.0,INR,CREDIT,REF-TXN-6179,SETTLED
TXN-6180,2025-11-04,IMPS/ZEPHYR/INV/2025-26/1010,276200.0,INR,CREDIT,REF-TXN-6180,SETTLED
TXN-6181,2026-04-13,IMPS/APEX/INV/2025-26/1476,239100.0,INR,CREDIT,REF-TXN-6181,SETTLED
TXN-6182,2026-03-09,NEFT/OMNIWARE SYSTEMS INDIA,79700.0,INR,CREDIT,REF-TXN-6182,SETTLED
TXN-6183,2026-08-12,BANK TRANSFER APEX INFRAWORKS INDIA,340350.0,INR,CREDIT,REF-TXN-6183,SETTLED
TXN-6184,2026-03-16,UPI/OMNIWARE SYS@okbank/PAYMENT,457050.0,INR,CREDIT,REF-TXN-6184,SETTLED
TXN-6185,2025-11-03,IMPS/TRIDENT/INV/2025-26/1131,454650.0,INR,CREDIT,REF-TXN-6185,SETTLED
TXN-6186,2025-10-10,UPI/STERLING OFF@okbank/PAYMENT,129900.0,INR,CREDIT,REF-TXN-6186,SETTLED
TXN-6187,2025-12-15,RTGS/VANGUARD SECURI/REF-166340,347100.0,INR,CREDIT,REF-TXN-6187,SETTLED
TXN-6188,2026-08-21,UPI/STERLING OFF@okbank/PAYMENT,9900.0,INR,CREDIT,REF-TXN-6188,SETTLED
TXN-6189,2025-11-16,NEFT/ZEPHYR DIGITAL MEDIA,84700.0,INR,CREDIT,REF-TXN-6189,SETTLED
TXN-6190,2026-07-06,RTGS/OMNIWARE SYSTEM/REF-363926,106100.0,INR,CREDIT,REF-TXN-6190,SETTLED
TXN-6191,2026-01-22,BANK TRANSFER OMNIWARE SYSTEMS INDIA,11900.0,INR,CREDIT,REF-TXN-6191,SETTLED
TXN-6192,2026-07-20,NEFT/VANGUARD SECURITY SERVICES,43350.0,INR,CREDIT,REF-TXN-6192,SETTLED
TXN-6193,2025-10-14,NEFT/TRIDENT SUPPLY CHAIN SOLUTIONS,21650.0,INR,CREDIT,REF-TXN-6193,SETTLED
TXN-6194,2025-09-22,BANK TRANSFER CLOUDNOVA TECHNOLOGIES PVT LTD,188100.0,INR,CREDIT,REF-TXN-6194,SETTLED
TXN-6195,2025-09-30,IMPS/BHARAT/INV/2025-26/1033,74950.0,INR,CREDIT,REF-TXN-6195,SETTLED
TXN-6196,2026-01-11,UPI/OMNIWARE SYS@okbank/PAYMENT,119750.0,INR,CREDIT,REF-TXN-6196,SETTLED
TXN-6197,2026-03-28,IMPS/APEX/INV/2025-26/1157,189900.0,INR,CREDIT,REF-TXN-6197,SETTLED
TXN-6198,2026-03-17,RTGS/KAVERI ENTERPRI/REF-732512,437600.0,INR,CREDIT,REF-TXN-6198,SETTLED
TXN-6199,2025-12-23,RTGS/OMNIWARE SYSTEM/REF-429445,51500.0,INR,CREDIT,REF-TXN-6199,SETTLED
TXN-6200,2026-07-08,IMPS/KAVERI/INV/2025-26/1386,465450.0,INR,CREDIT,REF-TXN-6200,SETTLED
TXN-6201,2025-11-03,RTGS/STERLING OFFICE/REF-703853,486800.0,INR,CREDIT,REF-TXN-6201,SETTLED
TXN-6202,2026-06-24,IMPS/METRO/INV/2025-26/1218,10500.0,INR,CREDIT,REF-TXN-6202,SETTLED
